Year,Status,Governor_HighCommissioner,Population,Area_SqMiles,Capital,Revenue_GBP,Expenditure_GBP,Tribute_Turkey_GBP,Districts,Legislative_Council_Status,Key_Events
1883,British Protectorate,Robert Biddulph (KCMG CB),185906,4000 (est),Nicosia,168732,157672,92686,6,Elected members introduced 1882,Early occupation period
1886,British Protectorate,Robert Biddulph,~195000,3584,Nicosia,~175000,~160000,92686,6,Active,Locust control campaigns
1888,British Protectorate,Henry Bulwer (GCMG),~200000,3584,Nicosia,~180000,~165000,92686,6,Active,Agricultural development
1894,British Protectorate,Henry Bulwer,~205000,3584,Nicosia,~160000,~115000,92686,6,Active,Drought year
1896,British Protectorate,Walter Sendall (KCMG),~207000,3584,Nicosia,~168000,~116000,92800,6,Active,Recovery period
1897,British Protectorate,Walter Sendall,~208000,3584,Nicosia,~189000,~129000,92800,6,Active,Good harvest
1898,British Protectorate,Walter Sendall,~209000,3584,Nicosia,~191000,~132000,92800,6,Active,Transition year
1899,British Protectorate,William Haynes-Smith (KCMG),~209000,3584,Nicosia,~195000,~130000,92800,6,Active,New High Commissioner
1900,British Protectorate,William Haynes-Smith,209286 (1891 census),3584,Nicosia,210284,132975,92800,6,Active,Turn of century
1905,British Protectorate,Charles King-Harman (KCMG),~225000,3584,Nicosia,~215000,~145000,92800,6,Active,Railway opened (Famagusta-Nicosia)
1906,British Protectorate,Charles King-Harman,~228000,3584,Nicosia,~220000,~150000,92800,6,Active,Famagusta harbor completed
1907,British Protectorate,Charles King-Harman,~232000,3584,Nicosia,~225000,~155000,92800,6,Active,Railway extended to Morphou
1908,British Protectorate,Charles King-Harman,~235000,3584,Nicosia,~230000,~160000,92800,6,Active,Infrastructure expansion
1909,British Protectorate,Charles King-Harman,~238000,3584,Nicosia,~235000,~165000,92800,6,Active,Larnaca pier extension
1910,British Protectorate,Charles King-Harman,~242000,3584,Nicosia,~240000,~170000,92800,6,Active,Development continues
1911,British Protectorate,Hamilton Goold-Adams (GCMG),274108 (census),3584,Nicosia,~250000,~180000,92800,6,Active,Census year
1915,British Crown Territory,John Clauson (KCMG),~285000,3584,Nicosia,~270000,~195000,92800,6,Active,WWI period; Railway to Evrychou; Annexed 1914
1917,British Crown Territory,John Clauson,~290000,3584,Nicosia,~285000,~210000,92800,6,Active,WWI service
1918,British Crown Territory,John Clauson,~295000,3584,Nicosia,~300000,~225000,92800,6,Active,WWI ends
1919,British Crown Territory,John Clauson,~300000,3584,Nicosia,~320000,~240000,92800,6,Active,Post-war transition
1920,British Crown Territory,Malcolm Stevenson (KCMG OBE),~305000,3584,Nicosia,~350000,~265000,92800,6,Active,New administration
1921,Crown Colony (from 1923),Malcolm Stevenson,310715 (census),3584,Nicosia,~380000,~285000,92800,6,Active,Census year
1922,Crown Colony,Malcolm Stevenson,~315000,3584,Nicosia,~410000,~305000,92800,6,Active,Pre-colony transition
1923,Crown Colony,Malcolm Stevenson,~320000,3584,Nicosia,~450000,~320000,92800 (last),6,Active,Becomes Crown Colony May 1; Treaty of Lausanne; Title changes to Governor
1924,Crown Colony,Malcolm Stevenson,~325000,3584,Nicosia,~465000,~335000,0,6,Active,First full year as Crown Colony
1925,Crown Colony,Malcolm Stevenson,~328000,3584,Nicosia,~480000,~350000,0,6,Active,Development period
1928,Crown Colony,Ronald Storrs (KCMG CBE),~335000,3584,Nicosia,~520000,~385000,0,6,Active,New Governor
1929,Crown Colony,Ronald Storrs,~340000,3584,Nicosia,~550000,~410000,0,6,Active,Pre-Depression peak
1930,Crown Colony,Ronald Storrs,~345000,3584,Nicosia,~580000,~435000,0,6,Active,Great Depression begins
1932,Crown Colony,Reginald Stubbs (GCMG),~350000,3584,Nicosia,~520000,~395000,0,6,Suspended after 1931 riots,Direct rule; Trade unions legalized
1933,Crown Colony,Reginald Stubbs,~352000,3584,Nicosia,~530000,~405000,0,6,Suspended,Recovery begins
1934,Crown Colony,Reginald Stubbs,~355000,3584,Nicosia,~545000,~415000,0,6,Suspended,Economic improvement
1936,Crown Colony,Reginald Stubbs,~360000,3584,Nicosia,~580000,~445000,0,6,Suspended,Development continues
1937,Crown Colony,Reginald Stubbs,~365000,3584,Nicosia,~610000,~470000,0,6,Suspended,Pre-WWII period
1946,Crown Colony,Reginald Fletcher (KCMG),450114 (census provisional),3584,Nicosia,~900000,~820000,0,6,Suspended,Post-WWII; Major population increase
1950,Crown Colony,Andrew Wright (KCMG),462318 (1946 census),3572,Nicosia,~1400000,~1280000,0,6,Suspended,Post-war development; Malaria eradication
1951,Crown Colony,Andrew Wright,~470000,3572,Nicosia,~1550000,~1420000,0,6,Suspended,Railway closed
1952,Crown Colony,Andrew Wright,~480000,3572,Nicosia,~1720000,~1580000,0,6,Suspended,Economic growth
